card_number;first_name;surname;email;status
52e1adcc-0;Thuận Hòa;Books Upgradable generating;VAnh.T@gmail.com;BLOCKED
6baf17ef-b;Nguyệt Hà;Reduced;NhtDng45@gmail.com;BLOCKED
f3dfb8ef-8;Việt Nhân;International;MuXun8@gmail.com;ACTIVE
c9b7a295-1;Quốc Bình;B2C;BoUyn25@hotmail.com;ACTIVE
b3864be1-b;Từ Ðông;enterprise;VyLan.Tng11@gmail.com;ACTIVE
76703a79-1;Tâm Hằng;help-desk Baby Orchestrator;HoiHng.on5@hotmail.com;ACTIVE
8ffff13f-d;Nghị Quyền;cross-platform Haiti;TiNguyn36@gmail.com;BLOCKED
1325503f-c;Minh Hòa;end-to-end;SongTh.Ng@hotmail.com;ACTIVE
9385dbec-5;Thiên Mai;COM;Nh84@gmail.com;ACTIVE
a98af105-c;Hồng Nhật;paradigm;VitCng_Ng53@gmail.com;ACTIVE
